timestamp,date,global_btc_dominance,global_eth_dominance,global_defi_volume_24h,global_defi_market_cap,global_stablecoin_volume_24h,global_stablecoin_market_cap,global_derivatives_volume_24h
2026-03-22 02:48:40.590817,2026-03-22,58.203409554868,10.654325327909,6764797875.984551,59393379865.38265,58209007978.39444,290085708292.23114,472786136693.1006
2026-03-23 02:48:54.773111,2026-03-23,58.093010229912,10.583518814794,8270113745.27705,58389796191.02598,67744496229.19412,290039715439.7068,616009085057.6633
2026-03-24 02:40:19.209221,2026-03-24,58.497410696411,10.705629251336,12494695392.646303,59452114387.87824,121525266281.8882,289610509916.7392,1123979618327.0945
2026-03-25 02:45:29.685276,2026-03-25,58.338129915543,10.749430036148,9572891229.100107,61004333804.0387,95121821623.24896,289470876100.0787,812133061316.4315
2026-03-26 02:52:29.251422,2026-03-26,58.404795846999,10.687579236427,8917444230.078234,60727681850.198975,86219858142.94601,289472108012.4938,720731183654.5829
2026-03-27 02:54:34.270753,2026-03-27,58.316707819369,10.562918553397,9314937114.753893,59134070224.27375,92268427626.2088,288846183157.03284,767734519824.3547
2026-03-28 02:44:23.343329,2026-03-28,57.891511063076,10.504971468239,8843927429.802462,56895125290.96925,99842023211.53598,288550894347.7185,753461109403.4916
2026-03-29 03:16:57.776684,2026-03-29,57.98397923338,10.516484630809,6003037985.775447,57570965002.54312,50449265203.56998,288475927132.2504,417876640493.2255
2026-03-30 03:20:20.172098,2026-03-30,57.971179272559,10.593402530136,6954562836.996313,57619849966.89042,58089006947.86088,288727445783.8844,559545515046.0723
2026-03-31 02:53:42.244417,2026-03-31,58.164119468815,10.709662612009,8588927372.416108,58091923116.36443,86118634769.08641,288396181558.2127,755715696534.4589
2026-04-01 03:24:39.128409,2026-04-01,58.082315376855,10.819283191025,10142862414.49072,57967645958.55622,94806924195.9172,288101293864.9923,842270231974.413
2026-04-02 02:50:06.919350,2026-04-02,58.018190970995,10.843382666622,12175774067.099802,57002284656.021286,97602370734.29752,288372579075.3688,820524706709.4017
2026-04-03 02:52:31.539588,2026-04-03,58.009590833134,10.784061037925,11739813013.28624,57024405974.75117,86495396123.31366,288563765240.23773,786086895078.9424
2026-04-04 02:43:14.310807,2026-04-04,58.053276671226,10.733697171276,6990319231.766316,57558871659.869606,54635306053.31746,288779727449.1083,486101235355.6902
2026-04-05 03:19:13.400355,2026-04-05,58.112385855702,10.746693788624,6262589070.738555,57574746417.70546,42835263478.21601,288717270370.6235,392309641604.4436
2026-04-06 03:22:17.357491,2026-04-06,58.427451268216,10.866191672887,8190119610.686508,58369138345.39947,63538668510.35829,288666870133.8182,636669173022.8751
2026-04-07 02:55:23.991475,2026-04-07,58.488378026078,10.823491889221,9697809544.553316,57463270172.60643,85473778891.3154,289034360278.3071,764351456321.028
2026-04-08 02:56:33.356999,2026-04-08,58.628731745187,11.079104604826,11936475409.226583,59963627695.89831,110395560567.76778,289004964809.6382,1019040158814.44
2026-04-09 02:51:13.100466,2026-04-09,58.943180823314,10.907582635275,9795507931.988964,58501440520.7083,95455682643.24284,289433067483.87427,759276945585.7041
2026-04-10 03:22:43.592274,2026-04-10,59.075704609904,10.836878349818,9976743277.656897,59466282327.52576,91430085588.09071,289526950431.3012,745862695143.245
2026-04-11 02:47:27.840154,2026-04-11,59.162166051512,10.981431287688,9528123648.488752,60187750163.70398,94762028489.92268,290075206547.28705,643716320500.469
2026-04-12 03:26:42.727158,2026-04-12,58.926022975177,11.008319161181,8567891306.365712,59143977378.35371,77652458917.9027,290086725735.3041,535358855163.9361
2026-04-13 03:33:42.238128,2026-04-13,58.813238191679,10.951817386142,7905799488.166763,58903485224.48652,67011150544.246735,290083189079.8801,498449614734.90704
2026-04-14 03:22:57.848085,2026-04-14,59.075470233718,11.339691693503,11638938320.314926,61235863659.20922,117399708023.65544,290635631536.73627,854511931536.9966
2026-04-15 03:20:37.335467,2026-04-15,59.169161235791,11.161716798463,11837911413.244398,60702234119.09403,198213647988.45407,291519401808.64594,795595315193.5277
2026-04-16 03:29:28.921890,2026-04-16,59.168858289344,11.230929564412,10600907136.14373,61985532178.18544,170068400776.35202,291363622386.548,650121575115.5669
2026-04-17 03:24:10.800535,2026-04-17,58.912895646245,11.076010476865,13630919502.909214,62908861019.79535,188777872066.81653,291958909622.112,790711044002.2151
2026-04-18 02:55:45.760520,2026-04-18,59.221801651309,11.176815907736,12502253580.03593,64522971253.990746,217044548576.9491,292634003916.4754,911570941019.1368
2026-04-19 03:31:24.880913,2026-04-19,59.354735078814,11.096764640471,12620135245.314114,62059811556.95074,156133005590.40646,292462657404.9071,594677061789.5952
2026-04-20 03:33:32.932057,2026-04-20,59.349795149052,10.952779216215,12889015312.292965,61003180527.32655,166735043271.6895,292452810276.312,723906129923.6565
