timestamp,date,id,cmc_rank,circulating_supply,total_supply,aud_price,aud_volume_24h,aud_cex_volume_24h,aud_dex_volume_24h,aud_volume_change_24h,aud_percent_change_1h,aud_percent_change_24h,aud_percent_change_7d,aud_percent_change_30d,aud_percent_change_60d,aud_percent_change_90d,aud_market_cap,aud_market_cap_dominance,aud_fully_diluted_market_cap
2026-03-04 15:17:25.859452,2026-03-04,1975,15,708099970.4525867,1000000000.0,12.48463707466968,1085378595.4006925,1073778146.5277517,11600448.87294088,-10.4389,-0.74731487,-1.48540711,2.96362345,-5.14861682,-33.98260986,-40.00924973,8840371143.684868,0.2674,12484637074.67378
2026-03-04 15:17:25.859452,2026-03-04,5994,27,589243742059209.9,589500284160680.1,7.771196590705234e-06,225885557.31944412,225713229.936262,172327.38318209778,0.7409,-0.49391541,0.2852716,-8.71920622,-17.41392215,-32.8447069,-38.72488793,4579128959.384927,0.1385,4581529896.018927
2026-03-04 15:17:25.859452,2026-03-04,6636,32,1671149579.0101995,1671149579.0101995,2.174772854484919,269692017.18602264,269219294.1693931,472723.01662954845,-28.5633,-0.67302552,2.0386452,20.03238059,2.64409991,-29.09345909,-34.85214054,3634370740.215283,0.1099,4567022994.4190855
2026-03-04 15:17:25.859452,2026-03-04,28321,52,10601927073.046022,10601927083.046022,0.1449562708140802,111352130.8031958,111019243.51493372,332887.28826206765,-30.6348,0.11937959,1.35396646,-10.82143619,-0.35738151,-12.16612873,-20.79092792,1536815811.9515886,0.0465,1536815813.40603
2026-03-04 15:17:25.859452,2026-03-04,2,22,76911876.98347135,84000000.0,77.97232275428372,514727990.9606026,513948325.6692069,779665.2913955448,-8.912,-0.64450227,1.09648962,4.13705956,-5.07642903,-33.71220886,-36.49335359,5996997695.792994,0.1812,6549675111.358909
2026-03-04 15:17:25.859452,2026-03-04,1831,11,20002471.875,20002471.875,631.0036684406641,457234012.663979,454482739.68761134,2751272.9763676086,-20.446,-0.16462896,-0.32374471,-11.37505072,-12.53142752,-29.40866862,-25.40281359,12621633131.00621,0.3817,13251077037.258402
2026-03-04 15:17:25.859452,2026-03-04,7083,34,633795562.7465303,898430420.0366303,5.570017729959233,379953207.95675504,377160959.3538393,2792248.6029157885,-11.251,-1.14488175,0.02037844,12.35436883,2.86605677,-35.36399194,-36.52661909,3530252521.6676626,0.1068,5004273368.73867
2026-03-04 15:17:25.859452,2026-03-04,6535,38,1289252866.0,1289252866.0,1.9655991012996787,749855084.7441962,749747791.5772992,107293.16689696108,-24.7307,-1.35310839,-2.01308186,39.8833632,18.40269329,-18.95410373,-26.3240189,2534154274.757635,0.0766,2534154274.756302
2026-03-04 15:17:25.859452,2026-03-04,512,19,32985091890.39495,50001786883.65895,0.2154242177125121,170900335.64657465,170703558.77530503,196776.87126961068,-5.1795,-0.53570342,-1.20406194,-1.37330438,-11.98140219,-33.24961215,-41.14022649,7105787616.66366,0.2149,10771600116.693542
2026-03-04 15:17:25.859452,2026-03-04,3794,58,496027140.0,496027140.0,2.5975916771822063,90471899.33154452,89611766.41084363,860132.9207009161,4.075,-0.50352733,-1.22898651,-11.47883543,-4.41774056,-18.233438,-22.96967725,1288475970.5204933,0.039,1288475970.515996
2026-03-04 15:33:37.459146,2026-03-04,1,1,19997556.0,19997556.0,96552.86922250326,72165689782.21178,72070065418.18173,95624364.0300516,-8.1866,-0.36367979,-1.16650416,2.98870129,-11.30815931,-25.1300548,-27.72371165,1930821409237.6853,58.415,2027610253672.567
